Default 0,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
3.5773255624824642,11.062574689799227,6.824814758079164,11.576734850318728,6.3426882886799305,-7.14844413104403
3.6092028974243675,-11.32848875256493,6.848145054212765,8.210742032316105,6.3669878488459695,-12.024697864562398
3.7352448968855256,11.256473999251776,6.92799134507468,11.376518724759464,6.42301036898937,-7.339599145389073
3.7843302684969338,-11.484329453125746,6.907852515049484,8.426520111326507,6.510698856931242,-7.539179806415643
3.9406645067573898,11.456337936982997,6.966937122965771,8.613233558279854,6.576373563261583,-7.737863801150837
4.002108500916279,-11.650265336622397,7.022506174862947,11.161250551574625,6.569823149699452,-11.839273726102427
4.160651450851105,11.6475971650663,7.027247834245234,8.84285294301035,6.641246630973193,-7.924055620305619
4.235095343627243,-11.80757018487342,7.0698499417249465,10.950495337995337,6.6902075235607725,-8.113785751487274
4.387880585367565,11.825558205511907,7.073791440884541,9.063739750904102,6.739684545103817,-11.601937180446438
4.468192077020202,-11.94104096520763,7.1121834028415485,9.25427895679579,6.748191173404571,-8.313699538249434
4.622309531951458,11.98102966392318,7.12155139648803,10.710074936608887,6.810156932278517,-8.51443535470445
4.701371651081125,-12.056544525112233,7.149484938230344,9.500561057195043,6.860366830194305,-11.405691131999
4.856577869077057,12.101666715379098,7.157077081579686,10.494957195410898,6.860648601173775,-8.704496768092447
4.934659425198163,-12.148580695067963,7.1695513887636295,10.258690865889939,6.9181623410026205,-8.902796213160407
5.090699121751371,12.190402783623268,7.172130076261752,9.799662432581993,6.932922525912723,-11.192845356249496
5.168038493112551,-12.220816254754332,7.180517271236674,10.034703010038658,6.96879275392817,-9.115567215363512
5.324646239960369,12.241371021168474,,,7.0085050386421415,-9.335815572207185
5.401595076744005,-12.254550627805834,,,7.003725142045454,-10.973011129816683
5.558410770574675,12.252738038174959,,,7.042762473830184,-9.546464598501633
5.635270004186832,-12.26261754310076,,,7.051229740212584,-9.75995413466546
5.792046813622338,12.236237529617158,,,7.052214546360599,-10.66451273278048
5.8691427348572525,-12.227783136145401,,,6.963664071268237,-10.861541027559543
6.025571275362129,12.195536275174584,,,7.084916988700133,-10.05191607432348
6.103137190590804,-12.16654791549756,,,7.075781871083521,-10.305168324188386
6.259060233958511,12.147134783405036,,,7.087314193731295,-10.44401704805254
6.234733818216892,-12.137580356029428,,,,
